"","X1","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"1",1,7.65,8,307,130,3504,12,70,1,"chevrolet chevelle malibu"
"2",2,6.375,8,350,165,3693,11.5,70,1,"buick skylark 320"
"3",3,7.65,8,318,150,3436,11,70,1,"plymouth satellite"
"4",4,6.8,8,304,150,3433,12,70,1,"amc rebel sst"
"5",5,7.225,8,302,140,3449,10.5,70,1,"ford torino"
"6",6,6.375,8,429,198,4341,10,70,1,"ford galaxie 500"
"7",7,5.95,8,454,220,4354,9,70,1,"chevrolet impala"
"8",8,5.95,8,440,215,4312,8.5,70,1,"plymouth fury iii"
"9",9,5.95,8,455,225,4425,10,70,1,"pontiac catalina"
"10",10,6.375,8,390,190,3850,8.5,70,1,"amc ambassador dpl"
"11",11,6.375,8,383,170,3563,10,70,1,"dodge challenger se"
"12",12,5.95,8,340,160,3609,8,70,1,"plymouth 'cuda 340"
"13",13,6.375,8,400,150,3761,9.5,70,1,"chevrolet monte carlo"
"14",14,5.95,8,455,225,3086,10,70,1,"buick estate wagon (sw)"
"15",15,10.2,4,113,95,2372,15,70,3,"toyota corona mark ii"
"16",16,9.35,6,198,95,2833,15.5,70,1,"plymouth duster"
"17",17,7.65,6,199,97,2774,15.5,70,1,"amc hornet"
"18",18,8.925,6,200,85,2587,16,70,1,"ford maverick"
"19",19,11.475,4,97,88,2130,14.5,70,3,"datsun pl510"
"20",20,11.05,4,97,46,1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"21",21,10.625,4,110,87,2672,17.5,70,2,"peugeot 504"
"22",22,10.2,4,107,90,2430,14.5,70,2,"audi 100 ls"
"23",23,10.625,4,104,95,2375,17.5,70,2,"saab 99e"
"24",24,11.05,4,121,113,2234,12.5,70,2,"bmw 2002"
"25",25,8.925,6,199,90,2648,15,70,1,"amc gremlin"
"26",26,4.25,8,360,215,4615,14,70,1,"ford f250"
"27",27,4.25,8,307,200,4376,15,70,1,"chevy c20"
"28",28,4.675,8,318,210,4382,13.5,70,1,"dodge d200"
"29",29,3.825,8,304,193,4732,18.5,70,1,"hi 1200d"
"30",30,11.475,4,97,88,2130,14.5,71,3,"datsun pl510"
"31",31,11.9,4,140,90,2264,15.5,71,1,"chevrolet vega 2300"
"32",32,10.625,4,113,95,2228,14,71,3,"toyota corona"
"33",34,8.075,6,232,100,2634,13,71,1,"amc gremlin"
"34",35,6.8,6,225,105,3439,15.5,71,1,"plymouth satellite custom"
"35",36,7.225,6,250,100,3329,15.5,71,1,"chevrolet chevelle malibu"
"36",37,8.075,6,250,88,3302,15.5,71,1,"ford torino 500"
"37",38,7.65,6,232,100,3288,15.5,71,1,"amc matador"
"38",39,5.95,8,350,165,4209,12,71,1,"chevrolet impala"
